segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
0,0,,tertiary,118.13971219626413,0.0,0.0,False,False
1,1,,tertiary,350.357647979241,0.0,0.0,False,False
2,2,,tertiary,942.4770613409681,0.0,0.0,False,False
3,3,,primary,545.8839444420239,0.0,0.0,False,True
4,4,,primary,43.85329420924481,0.0,0.0,False,True
5,5,,primary,561.1333617959982,0.0,0.0,False,True
6,6,,primary,212.47653019267383,0.0,0.0,False,True
7,7,,primary,344.1646674574658,0.0,0.0,False,True
8,8,,primary,37.463290123742055,0.0,0.0,False,True
9,9,,primary,1097.60845224457,0.0,0.0,False,True
10,10,,primary,627.8431962057281,0.0,0.0,False,True
11,11,,secondary,1042.1753243410476,0.6282474952963251,0.6547440371768983,False,True
12,12,,secondary,1025.6321889594235,0.0,0.0,False,True
13,13,,secondary,6.2448748264230165,0.6282474952963251,0.003923326968139333,False,True
14,14,,secondary,5.774423612104901,0.6282474952963251,0.0036277671710848616,False,True
15,15,,secondary,135.90065286009366,0.0,0.0,False,True
16,16,,secondary,24.380039036420072,0.0,0.0,False,True
17,17,,secondary,430.17075257037493,0.0,0.0,False,True
18,18,,secondary,99.07992401063603,0.0,0.0,False,True
19,19,,secondary,243.95152475787728,0.0,0.0,False,True
20,20,,secondary,642.9523009204835,0.0,0.0,False,True
21,21,,secondary,189.51168248686275,0.0,0.0,False,True
22,22,,secondary,943.7615511710738,0.0,0.0,False,True
23,23,,secondary,89.48024389244242,0.0,0.0,False,True
24,24,,secondary,537.0857888287152,0.0,0.0,False,True
25,25,,secondary,145.77944237054075,0.0,0.0,False,True
26,26,,secondary,102.39145888458553,0.0,0.0,False,True
27,27,,secondary,166.24768634522945,0.0,0.0,False,True
28,28,,secondary,230.29778274575895,0.0,0.0,False,True
29,29,,secondary,401.7729939628373,0.0,0.0,False,True
30,30,,secondary,384.9163277989154,0.0,0.0,False,True
31,31,,secondary,96.97611321538679,0.0,0.0,False,True
32,32,طريق السودة,primary,1518.5467014235799,0.0,0.0,False,True
