seed,mean_return,std_return,n_episodes,train_seconds
1,0.0356902314798178,0.0,1,648.4
2,-0.10728452208672969,0.0,1,647.7
3,0.12824099450276974,0.0,1,325.5
4,-0.05431062049665543,0.0,1,291.0
5,-0.12175900549723027,0.0,1,384.3
6,-0.05778624132676912,0.0,1,412.2
7,0.1282409945027697,0.0,1,379.6
8,0.09021397388972359,0.0,1,481.4
9,0.1282409945027697,0.0,1,449.7
10,-0.1394260483792745,0.0,1,342.7
11,-0.20586706451965883,0.0,1,305.9
12,0.1223017016633387,0.0,1,417.5
13,-0.03091961496315335,0.0,1,414.4
14,0.12824099450276974,0.0,1,388.0
15,-0.12165017699431672,0.0,1,405.7
16,-0.14241476422153299,0.0,1,401.4
17,0.1282409945027697,0.0,1,321.8
18,-0.11482297688500462,0.0,1,461.9
19,-0.09787463617598587,0.0,1,378.7
20,-0.11464573642022927,0.0,1,478.9
21,0.12824099450276974,0.0,1,571.7
22,-0.10728452208672967,0.0,1,451.2
23,-0.05,0.0,1,388.1
24,0.12824099450276974,0.0,1,386.8
25,0.10811068796987408,0.0,1,354.2
26,-0.10080270128374166,0.0,1,336.6
27,-0.12455045423691172,0.0,1,368.1
28,0.12824099450276974,0.0,1,312.9
29,-0.12654274024720227,0.0,1,256.4
30,-0.10771194150995346,0.0,1,363.0
31,0.1282409945027697,0.0,1,305.0
32,-0.09201992892182155,0.0,1,419.3
33,0.10811068796987416,0.0,1,392.3
34,-0.030919614963153437,0.0,1,376.4
35,-0.1306729562122841,0.0,1,376.4
36,-0.0013357955757937797,0.0,1,358.2
37,0.13657432783610304,0.0,1,398.2
38,-0.07816092704424378,0.0,1,357.7
39,-0.14900785626433063,0.0,1,346.4
40,-0.12175900549723029,0.0,1,510.4
41,-0.026464525367203597,0.0,1,523.8
42,-0.05778624132676912,0.0,1,400.4
43,-0.05778624132676912,0.0,1,786.4
44,0.12824099450276974,0.0,1,714.9
45,-0.08978949465831054,0.0,1,971.4
46,0.1282409945027697,0.0,1,995.0
47,0.12824099450276966,0.0,1,1050.1
48,-0.19633741333487972,0.0,1,1014.3
49,-0.13252681556637919,0.0,1,829.2
50,-0.11703456694331664,0.0,1,793.8
51,-0.14188931203012584,0.0,1,942.0
52,-0.11482297688500462,0.0,1,882.6
53,0.12824099450276963,0.0,1,822.5
54,-0.08978949465831054,0.0,1,752.7
55,-0.1531682679271821,0.0,1,765.0
56,-0.08821948174650421,0.0,1,857.9
57,-0.09787463617598585,0.0,1,856.2
58,0.1282409945027697,0.0,1,689.7
59,-0.023370479763809623,0.0,1,830.0
60,0.1282409945027697,0.0,1,746.9
61,0.12230170166333867,0.0,1,834.2
62,-0.08821948174650414,0.0,1,818.3
63,0.1282409945027697,0.0,1,812.2
64,-0.2356596095881359,0.0,1,953.5
65,0.09021397388972358,0.0,1,322.3
66,-0.02646452536720345,0.0,1,427.4
67,-0.08821948174650414,0.0,1,415.5
68,0.12824099450276974,0.0,1,416.7
69,0.12824099450276974,0.0,1,1033.2
70,0.12824099450276966,0.0,1,794.6
71,-0.14136984485022222,0.0,1,810.9
72,0.12824099450276974,0.0,1,824.5
73,-0.05778624132676912,0.0,1,773.8
74,0.11644402130320748,0.0,1,847.5
75,-0.12455045423691173,0.0,1,941.4
76,-0.018131192033870147,0.0,1,834.7
77,0.10811068796987419,0.0,1,788.9
78,0.12824099450276974,0.0,1,738.3
79,-0.08978949465831054,0.0,1,812.3
80,0.12824099450276974,0.0,1,740.8
81,-0.05,0.0,1,734.6
82,0.10811068796987416,0.0,1,796.5
83,0.010683660656278932,0.0,1,844.3
84,-0.44057153839889923,0.0,1,1003.0
85,0.12824099450276974,0.0,1,784.4
86,0.1282409945027697,0.0,1,920.8
87,-0.12165017699431654,0.0,1,743.6
88,-0.1413698448502222,0.0,1,822.9
89,-0.10728452208672969,0.0,1,849.7
90,0.035690231479817716,0.0,1,739.0
91,0.10811068796987411,0.0,1,824.4
92,-0.11703456694331657,0.0,1,754.2
93,0.10811068796987419,0.0,1,884.7
94,-0.12654274024720227,0.0,1,854.6
95,-0.05778624132676912,0.0,1,782.4
96,-0.13727335467742816,0.0,1,749.6
97,0.12824099450276974,0.0,1,800.2
98,-0.11464573642022925,0.0,1,853.0
99,-0.08821948174650414,0.0,1,761.3
100,0.09021397388972358,0.0,1,814.0
