seed,mean_return,std_return,n_episodes,train_seconds
1,0.8632714486688269,0.0,1,5979.1
2,0.8632714486688269,0.0,1,5762.8
3,0.8107509641302766,0.0,1,6237.3
4,0.8632714486688269,0.0,1,5526.5
5,0.863271448668827,0.0,1,5271.9
6,0.8107509641302764,0.0,1,9624.6
7,0.5909164499775532,0.0,1,10646.5
8,0.8632714486688269,0.0,1,10105.5
9,0.863271448668827,0.0,1,4726.1
10,0.863271448668827,0.0,1,5145.0
11,0.863271448668827,0.0,1,5008.4
12,0.8632714486688269,0.0,1,5156.9
13,0.863271448668827,0.0,1,5148.3
14,0.8632714486688269,0.0,1,5121.8
15,0.8107509641302766,0.0,1,5293.0
16,0.7125182399746769,0.0,1,6078.4
17,0.8107509641302765,0.0,1,5515.5
18,0.863271448668827,0.0,1,5363.4
19,0.8632714486688269,0.0,1,5382.3
20,0.8632714486688271,0.0,1,5585.0
21,0.7016878355598475,0.0,1,5036.4
22,0.863271448668827,0.0,1,5819.5
23,0.863271448668827,0.0,1,5476.4
24,0.863271448668827,0.0,1,5488.5
25,0.8632714486688271,0.0,1,5881.6
26,0.863271448668827,0.0,1,5668.0
27,0.8632714486688271,0.0,1,5609.4
28,0.8632714486688269,0.0,1,6084.5
29,0.8632714486688269,0.0,1,5956.2
30,0.8553810335799198,0.0,1,5494.2
